code_ms|vek_skupina|uroven
36-01|age19|4
36-02|age19|4
36-03|age19|2
36-04|age19|2
36-05|age19|2
36-06|age19|2
36-07|age19|2
36-08|age19|2
36-09|age19|2
36-10|age19|2
36-11|age19|2
36-12|age19|2
36-13|age19|2
37-01|age19|3
37-02|age19|3
37-03|age19|3
38-01|age19|5
38-02|age19|5
38-03|age19|4
38-04|age19|3
38-05|age19|2
38-06|age19|2
38-07|age19|2
38-08|age19|2
38-09|age19|2
38-10|age19|2
38-11|age19|2
38-12|age19|2
38-13|age19|2
38-14|age19|2
38-15|age19|2
38-16|age19|2
38-17|age19|2
38-18|age19|2
38-19|age19|2
38-20|age19|2
38-21|age19|2
39-01|age19|4
39-02|age19|3
40-01|age19|4
41-01|age19|5
41-02|age19|5
41-03|age19|3
41-04|age19|3
41-05|age19|3
41-06|age19|2
41-07|age19|2
41-08|age19|2
41-09|age19|2
41-10|age19|2
41-11|age19|2
41-12|age19|2
41-13|age19|2
41-14|age19|2
41-15|age19|2
41-16|age19|2
41-17|age19|2
41-18|age19|2
41-19|age19|2
41-20|age19|1
41-21|age19|1
42-01|age19|0
42-02|age19|0
42-03|age19|0
42-04|age19|0
42-05|age19|0
42-06|age19|0
43-01|age19|0
43-02|age19|0
43-03|age19|0
43-04|age19|0
43-05|age19|0
43-06|age19|0
43-07|age19|0
43-08|age19|0
43-09|age19|0
43-10|age19|0
43-11|age19|0
44-01|age19|0
45-01|age19|0
45-02|age19|0
45-03|age19|0
45-04|age19|0
45-05|age19|0
45-06|age19|0
45-07|age19|0
45-08|age19|0
45-09|age19|0
46-01|age19|0
46-02|age19|0
46-03|age19|0
46-04|age19|0
46-05|age19|0
46-06|age19|0
46-07|age19|0
46-08|age19|0
46-09|age19|0
46-10|age19|0
46-11|age19|0
46-12|age19|0
46-13|age19|0
46-14|age19|0
46-15|age19|0
46-16|age19|0
46-17|age19|0
46-18|age19|0
46-19|age19|0
46-20|age19|0
46-21|age19|0
46-22|age19|0
46-23|age19|0
46-24|age19|0
46-25|age19|0
46-26|age19|0
46-27|age19|0
46-28|age19|0
46-29|age19|0
46-30|age19|0
46-31|age19|0
46-32|age19|0
46-33|age19|0
46-34|age19|0
46-35|age19|0
46-36|age19|0
46-37|age19|0
46-38|age19|0
46-39|age19|0
46-40|age19|0
46-41|age19|0
46-42|age19|0
46-43|age19|0
46-44|age19|0
46-45|age19|0
46-46|age19|0
46-47|age19|0
46-48|age19|0
46-49|age19|0
46-50|age19|0
46-51|age19|0
46-52|age19|0
46-53|age19|0
46-54|age19|0
46-55|age19|0
46-56|age19|0
46-57|age19|0
46-58|age19|0
46-59|age19|0
46-60|age19|0
46-61|age19|0
46-62|age19|0
46-63|age19|0
46-64|age19|0
46-65|age19|0
46-66|age19|0
46-67|age19|0
46-68|age19|0
46-69|age19|0
46-70|age19|0
46-71|age19|0
46-72|age19|0
46-73|age19|0
46-74|age19|0
46-75|age19|0
46-76|age19|0
46-77|age19|0
46-78|age19|0
46-79|age19|0
46-80|age19|0
47-01|age19|0
47-02|age19|0
47-03|age19|0
47-04|age19|0
47-05|age19|0
47-06|age19|0
47-07|age19|0
47-08|age19|0
47-09|age19|0
47-10|age19|0
47-11|age19|0
47-12|age19|0
47-13|age19|0
47-14|age19|0
47-15|age19|0
47-16|age19|0
47-17|age19|0
47-18|age19|0
47-19|age19|0
47-20|age19|0
47-21|age19|0
47-22|age19|0
47-23|age19|0
47-24|age19|0
47-25|age19|0
47-26|age19|0
47-27|age19|0
47-28|age19|0
47-29|age19|0
47-30|age19|0
47-31|age19|0
47-32|age19|0
47-33|age19|0
47-34|age19|0
47-35|age19|0
47-36|age19|0
47-37|age19|0
47-38|age19|0
47-39|age19|0
47-40|age19|0
47-41|age19|0
47-42|age19|0
47-43|age19|0
47-44|age19|0
47-45|age19|0
47-46|age19|0
47-47|age19|0
47-48|age19|0
47-49|age19|0
47-50|age19|0
47-51|age19|0
47-52|age19|0
47-53|age19|0
47-54|age19|0
47-55|age19|0
47-56|age19|0
48-01|age19|0
48-02|age19|0
48-03|age19|0
48-04|age19|0
48-05|age19|0
48-06|age19|0
48-07|age19|0
48-08|age19|0
48-09|age19|0
48-10|age19|0
48-11|age19|0
48-12|age19|0
48-13|age19|0
48-14|age19|0
48-15|age19|0
48-16|age19|0
48-17|age19|0
48-18|age19|0
48-19|age19|0
48-20|age19|0
48-21|age19|0
48-22|age19|0
48-23|age19|0
48-24|age19|0
48-25|age19|0
48-26|age19|0
48-27|age19|0
48-28|age19|0
48-29|age19|0
48-30|age19|0
48-31|age19|0
48-32|age19|0
48-33|age19|0
48-34|age19|0
48-35|age19|0
48-36|age19|0
48-37|age19|0
48-38|age19|0
48-39|age19|0
49-01|age19|0
49-02|age19|0
49-03|age19|0
49-04|age19|0
49-05|age19|0
49-06|age19|0
49-07|age19|0
49-08|age19|0
49-09|age19|0
49-10|age19|0
49-11|age19|0
49-12|age19|0
49-13|age19|0
49-14|age19|0
49-15|age19|0
49-16|age19|0
49-17|age19|0
49-18|age19|0
49-19|age19|0
49-20|age19|0
49-21|age19|0
49-22|age19|0
49-23|age19|0
49-24|age19|0
49-25|age19|0
49-26|age19|0
49-27|age19|0
49-28|age19|0
49-29|age19|0
50-01|age19|0
50-02|age19|0
50-03|age19|0
50-04|age19|0
50-05|age19|0
50-06|age19|0
50-07|age19|0
50-08|age19|0
50-09|age19|0
50-10|age19|0
50-11|age19|0
50-12|age19|0
50-13|age19|0
50-14|age19|0
50-15|age19|0
50-16|age19|0
50-17|age19|0
50-18|age19|0
50-19|age19|0
50-20|age19|0
50-21|age19|0
50-22|age19|0
50-23|age19|0
50-24|age19|0
50-25|age19|0
50-26|age19|0
50-27|age19|0
50-28|age19|0
50-29|age19|0
50-30|age19|0
51-01|age19|0
51-02|age19|0
51-03|age19|0
51-04|age19|0
51-05|age19|0
51-06|age19|0
51-07|age19|0
51-08|age19|0
51-09|age19|0
51-10|age19|0
51-11|age19|0
51-12|age19|0
51-13|age19|0
51-14|age19|0
51-15|age19|0
51-16|age19|0
51-18|age19|0
51-19|age19|0
51-20|age19|0
51-21|age19|0
51-22|age19|0
51-23|age19|0
51-24|age19|0
51-25|age19|0
51-26|age19|0
51-27|age19|0
51-28|age19|0
51-29|age19|0
51-30|age19|0
51-31|age19|0
51-32|age19|0
51-33|age19|0
51-34|age19|0
51-35|age19|0
51-36|age19|0
51-37|age19|0
51-38|age19|0
51-39|age19|0
51-40|age19|0
51-41|age19|0
51-42|age19|0
51-43|age19|0
51-44|age19|0
51-45|age19|0
51-46|age19|0
51-47|age19|0
51-48|age19|0
51-49|age19|0
51-50|age19|0
51-51|age19|0
51-52|age19|0
51-53|age19|0
51-54|age19|0
52-01|age19|0
52-02|age19|0
52-03|age19|0
52-04|age19|0
52-05|age19|0
52-06|age19|0
52-07|age19|0
52-08|age19|0
52-09|age19|0
52-10|age19|0
52-11|age19|0
52-12|age19|0
53-01|age19|0
53-02|age19|0
53-03|age19|0
53-04|age19|0
53-05|age19|0
53-06|age19|0
53-07|age19|0
53-08|age19|0
53-09|age19|0
53-10|age19|0
53-11|age19|0
53-12|age19|0
53-13|age19|0
53-14|age19|0
53-15|age19|0
53-16|age19|0
53-17|age19|0
53-18|age19|0
53-19|age19|0
53-20|age19|0
53-21|age19|0
53-22|age19|0
53-23|age19|0
53-24|age19|0
53-25|age19|0
53-26|age19|0
53-27|age19|0
53-28|age19|0
53-29|age19|0
53-30|age19|0
53-31|age19|0
53-32|age19|0
53-33|age19|0
53-34|age19|0
53-35|age19|0
53-36|age19|0
53-37|age19|0
54-01|age19|0
54-02|age19|0
54-03|age19|0
54-04|age19|0
54-05|age19|0
54-06|age19|0
54-07|age19|0
54-08|age19|0
54-09|age19|0
54-10|age19|0
54-11|age19|0
54-12|age19|0
54-13|age19|0
54-14|age19|0
54-15|age19|0
55-01|age19|0
55-02|age19|0
55-03|age19|0
55-04|age19|0
55-05|age19|0
55-06|age19|0
55-07|age19|0
55-08|age19|0
55-09|age19|0
55-10|age19|0
55-11|age19|0
55-12|age19|0
55-13|age19|0
55-14|age19|0
55-15|age19|0
55-16|age19|0
55-17|age19|0
55-18|age19|0
55-19|age19|0
55-20|age19|0
55-21|age19|0
55-22|age19|0
55-23|age19|0
55-24|age19|0
55-25|age19|0
55-26|age19|0
55-27|age19|0
55-28|age19|0
55-29|age19|0
55-30|age19|0
55-31|age19|0
55-32|age19|0
55-33|age19|0
55-34|age19|0
55-35|age19|0
55-36|age19|0
55-37|age19|0
55-38|age19|0
55-39|age19|0
55-40|age19|0
55-41|age19|0
55-42|age19|0
55-43|age19|0
55-44|age19|0
55-45|age19|0
55-46|age19|0
55-47|age19|0
55-48|age19|0
55-49|age19|0
55-50|age19|0
55-51|age19|0
55-52|age19|0
55-53|age19|0
55-54|age19|0
55-55|age19|0
55-56|age19|0
55-57|age19|0
55-58|age19|0
55-59|age19|0
55-60|age19|0
56-01|age19|0
56-02|age19|0
56-03|age19|0
56-04|age19|0
56-05|age19|0
56-06|age19|0
56-07|age19|0
56-08|age19|0
56-09|age19|0
56-10|age19|0
57-01|age19|0
57-02|age19|0
57-03|age19|0
57-04|age19|0
57-05|age19|0
57-06|age19|0
57-07|age19|0
57-08|age19|0
58-49|age19|0
58-02|age19|0
58-50|age19|0
58-51|age19|0
58-05|age19|0
58-06|age19|0
58-07|age19|0
58-08|age19|0
58-09|age19|0
58-10|age19|0
58-11|age19|0
58-12|age19|0
58-13|age19|0
58-14|age19|0
58-15|age19|0
58-16|age19|0
58-43|age19|0
58-44|age19|0
58-45|age19|0
58-46|age19|0
58-47|age19|0
58-48|age19|0
58-42|age19|0
58-24|age19|0
58-25|age19|0
58-26|age19|0
58-27|age19|0
58-28|age19|0
58-29|age19|0
58-30|age19|0
58-31|age19|0
58-32|age19|0
58-33|age19|0
58-34|age19|0
58-35|age19|0
58-36|age19|0
58-37|age19|0
58-38|age19|0
58-39|age19|0
58-40|age19|0
58-41|age19|0
58-23|age19|0
58-17|age19|0
58-18|age19|0
58-22|age19|0
58-21|age19|0
58-04|age19|0
58-19|age19|0
58-20|age19|0
58-03|age19|0
58-01|age19|0
59-01|age19|0
59-02|age19|0
59-03|age19|0
59-04|age19|0
59-05|age19|0
59-06|age19|0
59-07|age19|0
59-08|age19|0
59-09|age19|0
59-10|age19|0
59-11|age19|0
59-12|age19|0
59-13|age19|0
59-14|age19|0
59-15|age19|0
59-16|age19|0
59-17|age19|0
59-18|age19|0
59-19|age19|0
59-20|age19|0
59-21|age19|0
59-22|age19|0
59-23|age19|0
59-24|age19|0
60-01|age19|0
61-01|age19|3
61-02|age19|2
62-01|age19|0
62-02|age19|0
63-01|age19|1
63-02|age19|1
63-03|age19|1
63-04|age19|1
63-05|age19|1
63-06|age19|1
63-07|age19|1
63-08|age19|1
63-09|age19|4
63-10|age19|4
63-11|age19|1
63-12|age19|1
63-13|age19|1
63-14|age19|1
63-15|age19|1
63-16|age19|1
63-17|age19|1
63-18|age19|1
63-19|age19|1
63-20|age19|1
63-21|age19|1
63-22|age19|1
63-23|age19|1
63-24|age19|1
63-25|age19|1
63-26|age19|1
